#{"t_start": 1733274803.39025, "env_id": "BipedalWalker-v3"}
r,l,t
-99.1667,94,5.122139
-97.297847,102,5.146984
-99.701213,66,5.163214
-97.152801,98,5.186549
-98.189393,96,5.209722
-89.981059,212,11.509138
-94.668253,235,11.574169
-93.990977,200,11.628368
-88.72032,364,11.727254
-92.190113,182,11.775333
-29.305949,1600,18.549328
-33.564531,1600,18.967556
-26.371532,1600,19.353259
-34.999438,1600,19.753879
-51.054368,1600,20.138005
-61.551559,1600,26.188949
-56.468662,1600,26.600745
-50.39093,1600,27.008941
-64.347502,1600,27.417727
-63.629482,1600,27.846877
-105.502997,1600,34.006166
-126.198786,1600,34.397117
-105.664977,1600,34.797374
-88.752176,1600,35.208525
-118.102785,1600,35.70806
-100.931576,122,41.433271
-103.355689,122,41.473102
-103.415954,193,41.529628
-95.067073,276,41.596351
-88.099029,593,41.747073
-130.691224,1600,47.800416
-106.245401,1600,48.217835
-99.368522,1600,48.617759
-103.871159,1600,49.000957
-128.811167,1600,49.410621
109.675932,1600,55.375031
106.856753,1600,55.790515
105.033247,1600,56.202682
113.921485,1600,56.61038
113.875507,1600,57.031766
-104.7967,103,62.659794
-107.482461,136,62.695227
-105.696575,164,62.73694
-100.891638,144,62.773991
-99.599872,334,62.860081
-98.86428,68,68.771339
-96.03196,83,68.795416
-98.500505,68,68.815871
-97.147214,76,68.838314
-94.26117,81,68.862013
158.20996,1600,75.111249
147.154122,1600,75.565428
156.413226,1600,76.019169
157.257317,1600,76.509033
176.667689,1600,76.983152
-121.152792,1600,83.56525
-115.175915,84,83.589544
-120.425894,1600,84.100037
-123.100221,130,84.142633
-130.551115,91,84.169925
-90.722684,1600,91.220743
-97.801207,1600,91.691925
-93.28848,1600,92.15486
-90.737369,1600,92.710142
-101.51386,1600,93.231777
-67.945336,1600,100.553702
-68.407732,1600,101.138992
-68.535897,1600,101.669871
-66.376775,1600,102.197018
-108.807035,44,102.212655
-99.641449,56,109.546549
-100.629947,91,109.578033
-100.336473,91,109.612033
-101.819158,68,109.635976
-100.180765,91,109.669416
-107.688765,35,117.184132
-107.681412,35,117.197897
-107.734476,35,117.211538
-107.716561,35,117.225035
-107.796939,35,117.23924
-70.950968,1600,125.933965
-62.481007,1600,126.643705
-81.571043,1600,127.29312
-34.553221,1600,128.052789
-70.242234,1600,128.708662
-112.245189,1600,138.794549
-109.236718,110,138.841059
-100.966383,1600,139.497852
-109.639583,1600,140.110244
-170.207335,694,140.389092
-70.062581,1600,149.238798
-76.075333,1600,149.835991
-103.662883,287,149.944256
-104.192825,249,150.037294
-59.997176,1600,150.65251
-104.307089,134,158.973739
-105.173098,130,159.030344
-108.068086,138,159.08419
-108.130276,135,159.135915
-103.830536,134,159.186133
-110.820378,48,167.304679
-110.513226,48,167.324883
-110.612545,47,167.343664
-110.616133,47,167.362066
-110.597767,47,167.380822
5.903267,1600,176.811874
8.764259,1600,177.484926
2.164611,1600,178.142351
15.732223,1600,178.795449
16.82641,1600,179.438708
50.694415,1600,188.413854
-93.674328,353,188.549793
60.014124,1600,189.193541
60.330781,1600,189.787979
38.939828,1600,190.388316
-65.213139,1600,199.776423
-64.915883,1600,200.618506
-64.951621,1600,201.304722
-64.188997,1600,201.989198
-64.974721,1600,202.652469
58.424098,1600,211.362972
51.185286,1600,211.95033
44.15794,1600,212.56734
53.473608,1600,213.387392
47.74545,1600,214.082734
-103.410504,111,223.020733
-104.422358,106,223.06443
-103.246038,114,223.109177
-101.089135,112,223.15263
-101.961793,110,223.197086
5.99952,1600,231.626969
8.900855,1600,232.195372
32.963777,1600,232.769986
20.355129,1600,233.369768
43.259664,1600,233.951366
-49.32333,927,241.720529
123.051262,1600,242.289999
-108.692566,227,242.372637
-111.773109,96,242.408083
119.601088,1600,242.95862
-49.301828,578,250.608891
-97.390293,189,250.67366
-96.326215,159,250.737053
