#{"t_start": 1733274618.171013, "env_id": "BipedalWalker-v3"}
r,l,t
-9.006164,1600,3.966113
-1.335887,1600,4.292449
-112.719728,142,4.319805
-10.570329,1600,4.631514
-11.041813,1600,4.923958
-102.555776,166,9.140393
-102.155527,151,9.167952
-103.21908,210,9.205955
-102.202205,147,9.232778
-102.256307,147,9.259802
-40.446461,1600,13.291506
-34.383117,1600,13.658676
-41.431298,1600,13.988466
-36.564189,1600,14.354498
-35.820174,1600,14.73933
-96.961196,1600,18.735842
-96.895295,1600,19.011147
-96.84489,1600,19.284641
-96.344714,1600,19.579963
-90.824014,1600,19.854812
-131.604759,192,23.577827
-130.01367,177,23.626444
-131.528644,191,23.665179
-127.93627,161,23.697476
-128.703553,215,23.736496
-102.518951,172,27.473336
-102.216496,166,27.503953
-102.754526,179,27.537793
-102.693445,176,27.570796
-101.431949,153,27.598664
-72.940039,1600,31.500499
-72.668073,1600,31.774136
-73.08543,1600,32.051391
-72.972749,1600,32.33226
-72.917542,1600,32.60697
-99.474475,251,36.283456
-50.420819,1600,36.556539
-44.156437,1600,36.829319
-44.604427,1600,37.103133
-26.958823,1600,37.376645
-36.129859,1600,41.003812
-40.012174,1600,41.276374
-41.012358,1600,41.548748
-41.023124,1600,41.821773
-36.68602,1600,42.109762
-82.492883,214,45.714741
-63.389773,355,45.782066
-89.657638,189,45.821859
-86.532015,207,45.859714
-65.502396,320,45.917695
-91.547679,155,49.53335
-76.477917,223,49.573646
-86.801556,193,49.608167
-24.646324,525,49.700967
-89.565238,172,49.731979
15.919184,718,53.495832
-84.97385,200,53.532452
-70.939878,258,53.57878
-82.201067,191,53.612961
-77.73795,222,53.652601
-62.37273,356,57.327045
-25.131046,646,57.439964
-28.791477,567,57.539292
-75.509849,317,57.595494
30.768464,896,57.752594
-86.780477,261,61.393943
-91.855774,203,61.430575
-64.271286,373,61.495885
76.985231,1205,61.709182
-92.431595,202,61.747156
-92.431371,192,65.344398
-76.825767,248,65.388271
-60.711109,307,65.442594
-5.364118,1039,65.623982
-68.583135,274,65.672528
34.7623,979,69.381063
-39.518034,515,69.471683
248.231612,1600,69.751507
47.371472,1060,69.934529
-60.422299,356,69.997043
-68.701747,324,73.588467
118.190242,1450,73.840668
251.111882,1600,74.123098
93.258908,1335,74.353839
240.867579,1600,74.632153
-107.187033,113,77.887091
-107.197289,113,77.907761
-106.671503,114,77.928624
-107.649071,112,77.949098
-110.084717,112,77.969479
-93.445747,209,81.748415
-52.829703,395,81.819715
256.244175,1600,82.104071
-58.117687,383,82.172449
-76.601336,408,82.244168
-100.709228,136,85.905547
-97.788015,130,85.928917
-100.465569,136,85.953013
-102.055619,139,85.977586
-97.590638,132,86.001202
-104.412574,128,89.650761
-102.446751,127,89.673307
-110.04747,127,89.698617
-104.240516,122,89.720764
-109.981643,127,89.743982
-79.71962,268,93.656048
24.882206,864,93.824351
16.39263,803,93.96837
