#{"t_start": 1733280591.379561, "env_id": "BipedalWalker-v3"}
r,l,t
-106.816314,61,55.894329
-105.25008,77,55.919985
-110.333096,70,55.942597
-106.88527,66,55.963863
-106.845021,92,55.994941
-108.606085,38,155.125865
-108.572973,38,155.179199
-108.527904,38,155.217402
-108.650218,38,155.253347
-108.535841,38,155.289921
-136.941889,1600,227.9704
-136.962843,1600,228.5367
-136.764494,1600,229.084443
-136.933057,1600,229.672055
-136.920427,1600,230.258059
-132.802695,1600,296.968315
-136.964128,1600,297.533267
-143.815761,1600,298.120729
-142.321876,1600,298.679778
-146.856611,1600,299.233202
-139.604445,1600,367.609654
-135.992423,1600,368.240059
-124.637793,1600,368.872474
-144.19582,1600,369.506031
-145.893578,1600,370.152741
-135.989258,1600,450.767153
-135.039909,1600,451.426546
-134.740369,1600,452.151163
-132.966846,1600,452.844217
-133.970963,1600,453.501965
-78.589458,1600,532.273672
-83.665599,1600,532.910105
-115.831408,160,532.972844
-79.870041,1600,533.615823
-76.346491,1600,534.266821
-69.388068,1600,606.26196
-69.454092,1600,606.869628
-100.981697,197,606.941524
-72.045857,1600,607.538227
-70.209408,1600,608.125272
-53.472277,1600,677.220929
-53.668353,1600,677.78913
-53.85287,1600,678.43281
-55.314985,1600,679.067532
-53.580163,1600,679.816064
-128.772065,1600,746.674231
-128.697685,1600,747.24647
-128.801836,1600,747.826395
-133.98345,1600,748.417107
-133.888814,1600,749.000603
-111.17235,1600,817.152983
-111.877116,1600,817.737246
-113.576031,1600,818.328125
-111.225073,1600,818.886944
-114.075476,1600,819.473104
-98.091141,1600,888.896936
-66.76798,1600,889.665398
-104.398776,104,889.705209
-69.350118,1600,890.312062
-102.306647,132,890.365087
-46.335119,1600,959.878613
-23.98954,1600,960.471729
-95.543857,1600,961.065187
-45.598959,1600,961.659236
-95.272476,1600,962.279281
-88.446615,1600,1032.324679
-88.156208,1600,1032.920318
-88.374317,1600,1033.499126
-89.488873,1600,1034.089346
-89.389308,1600,1034.70001
-107.293014,180,1103.232742
-106.145812,135,1103.283527
-106.122029,118,1103.328615
-106.275434,105,1103.369916
-106.718782,107,1103.413158
-120.503975,1600,1172.251876
-115.661096,1600,1172.92228
-115.50019,1600,1173.50314
-114.935095,1600,1174.081043
-114.840323,1600,1174.661189
-117.130932,1600,1246.251265
-110.783961,1600,1246.845745
-121.547161,1600,1247.450836
-107.218641,1600,1248.038841
-125.280268,1600,1248.644945
-65.994593,1600,1318.160682
-57.958409,1600,1318.77343
-54.293822,1600,1319.359677
-53.536254,1600,1319.956939
-59.29193,1600,1320.547476
-110.970847,1600,1389.574076
-73.516152,1600,1390.157207
-111.763384,1600,1390.750713
-111.061851,1600,1391.336066
-124.438053,1600,1391.960847
-56.309999,1600,1461.802733
-109.9636,1600,1462.404638
-108.725926,1600,1463.00079
-110.475467,1600,1463.588486
-109.288869,1600,1464.213406
-73.912779,1600,1533.153584
-29.00451,1600,1533.756659
-73.234697,1600,1534.373321
