#{"t_start": 1736958512.554267, "env_id": "None"}
r,l,t
-1.185885,19,314.071363
-0.429682,28,314.898603
-1.255668,28,315.864976
-0.785755,26,316.765504
-0.091155,26,317.66546
-0.47195,26,340.331441
-2.154148,17,340.353183
-0.881539,13,340.368699
-0.645227,14,340.386282
-1.657942,20,340.411395
0.026701,13,355.760398
-0.481351,13,355.77695
0.182208,10,355.788849
0.024667,14,355.807572
1.306774,11,355.820868
4.203607,10,371.179101
5.137701,10,371.192229
4.746968,10,371.204892
4.462765,10,371.217113
4.937784,10,371.229911
7.888263,10,387.14758
6.180645,9,387.159475
9.341614,11,387.174259
8.873491,11,387.189084
7.202637,10,387.201299
12.063704,12,402.956895
9.7255,10,402.969958
9.719095,10,402.982679
11.025081,11,402.99842
9.814601,11,403.014569
13.078463,12,419.499522
15.156989,13,419.52123
11.32497,11,419.536445
14.779795,13,419.556039
13.931427,12,419.574446
19.604144,15,436.833185
19.755857,15,436.861867
18.77828,15,436.888974
20.698183,15,436.915773
21.948962,16,436.94393
20.449384,15,454.482854
20.140305,15,454.509202
21.857564,16,454.536885
21.486338,16,454.565042
21.729886,16,454.593424
21.505651,16,472.320084
22.681661,16,472.346362
24.38979,18,472.376684
24.752222,18,472.407188
25.574895,19,472.440154
26.571389,19,490.539611
26.59254,18,490.571188
27.359408,19,490.602636
27.497259,19,490.638217
27.875975,19,490.673151
26.356415,19,508.36593
27.032254,20,508.400866
29.557673,20,508.435787
30.302687,21,508.472744
28.919105,20,508.50573
30.671125,21,526.998955
30.657988,24,527.045456
31.062293,24,527.090714
30.162603,21,527.127832
28.015214,21,527.168474
32.502164,28,546.45233
40.941693,53,546.533797
35.018065,25,546.575471
35.65464,24,546.615305
40.97414,56,546.701076
-38.726617,24,76.271709
-61.343304,43,77.740024
-25.409204,16,78.304904
-53.010226,37,79.571542
-30.517207,30,80.654929
-23.479535,18,81.288388
-29.750118,18,81.921783
-21.240376,24,82.754956
-39.677812,26,83.654931
-96.895258,72,86.105072
-22.480196,27,87.25512
-25.771021,18,88.171648
-25.755983,18,88.944301
-24.366031,22,89.738415
-41.199946,29,90.738482
-18.176472,25,91.605001
-56.641889,44,93.105014
-28.54008,19,93.771757
-23.909552,25,94.638284
-25.480315,17,95.238352
-53.752316,36,96.47096
-35.229832,18,97.105086
-50.152967,32,98.194498
-48.292325,37,99.010119
-25.250508,25,99.558608
-25.698531,26,100.125103
-34.289677,24,101.192092
-79.923097,66,102.636449
-67.05785,46,103.608528
-32.577455,23,104.102193
-74.059833,58,105.398273
-38.612122,26,105.986918
-112.160142,106,108.452688
-16.919809,26,109.05427
-48.799784,41,109.96267
-14.41647,17,110.357437
-27.382711,28,110.984673
-21.018186,13,111.294372
-78.256725,66,112.770632
-79.74866,67,114.288846
-44.135821,32,115.020222
-115.031255,89,117.019666
-54.747835,41,117.943154
-38.05964,29,118.593727
-31.864237,19,119.030396
-36.518364,30,119.711717
-39.315916,26,120.295122
-23.652144,21,120.783313
-43.533552,39,121.6725
-45.67197,33,122.431226
-33.999078,26,123.016468
-30.738884,26,123.623221
-24.754301,14,123.94496
-32.35147,21,124.422096
-49.885023,30,125.091872
-28.647778,18,125.508576
-36.852878,21,126.007209
-52.596246,31,126.703022
-13.031763,14,127.034802
-11.190188,18,127.458855
-43.752589,43,128.437937
-45.045042,38,129.593324
-47.648382,46,130.623848
-21.857399,17,131.024547
-40.71589,26,131.622741
-15.630956,18,132.04861
-26.896532,16,132.430094
-61.144107,46,133.468757
-53.664089,44,134.454549
